"ar16_index","esrs","theme_en","subtheme_en","subtopic_en","theme_es","subtheme_es","subtopic_es","consolidated"
"58","S2","Value chain workers","Other labor rights","child labor","Trabajadores de la cadena de valor","Otros derechos laborales","Trabajo infantil","False"
"59","S2","Value chain workers","Other labor rights","Forced labor","Trabajadores de la cadena de valor","Otros derechos laborales","Trabajo forzoso","False"
"60","S2","Value chain workers","Other labor rights","Adequate housing","Trabajadores de la cadena de valor","Otros derechos laborales","Vivienda adecuada","False"
"61","S2","Value chain workers","Other labor rights","Water and sanitation","Trabajadores de la cadena de valor","Otros derechos laborales","Agua y saneamiento","False"
"62","S2","Value chain workers","Other labor rights","Privacy","Trabajadores de la cadena de valor","Otros derechos laborales","Privacidad","False"
"63","S3","Affected groups","Economic, social and cultural rights of groups","Adequate housing","Colectivos afectados","Derechos económicos, sociales y culturales de los colectivos","Vivienda adecuada","False"
"64","S3","Affected groups","Economic, social and cultural rights of groups","Proper nutrition","Colectivos afectados","Derechos económicos, sociales y culturales de los colectivos","Alimentación adecuada","False"
"65","S3","Affected groups","Economic, social and cultural rights of groups","Water and sanitation","Colectivos afectados","Derechos económicos, sociales y culturales de los colectivos","Agua y saneamiento","False"
"66","S3","Affected groups","Economic, social and cultural rights of groups","Land-related incidents","Colectivos afectados","Derechos económicos, sociales y culturales de los colectivos","Incidencias relacionadas con la tierra","False"
"67","S3","Affected groups","Economic, social and cultural rights of groups","Security-related incidents","Colectivos afectados","Derechos económicos, sociales y culturales de los colectivos","Incidencias relacionadas con la seguridad","False"
"68","S3","Affected groups","Civil and political rights of groups","Freedom of expression","Colectivos afectados","Derechos civiles y políticos de los colectivos","Libertad de expresión","False"
"69","S3","Affected groups","Civil and political rights of groups","Freedom of assembly","Colectivos afectados","Derechos civiles y políticos de los colectivos","Libertad de reunión","False"
"70","S3","Affected groups","Civil and political rights of groups","Incidents on human rights defenders","Colectivos afectados","Derechos civiles y políticos de los colectivos","Incidencias sobre los defensores de los derechos humanos","False"
"71","S3","Affected groups","Rights of indigenous peoples","Free, prior and informed consent","Colectivos afectados","Derechos de pueblos indígenas","Consentimiento libre, previo e informado","False"
"72","S3","Affected groups","Rights of indigenous peoples","Self-determination","Colectivos afectados","Derechos de pueblos indígenas","Autodeterminación","False"
"73","S3","Affected groups","Rights of indigenous peoples","Cultural rights","Colectivos afectados","Derechos de pueblos indígenas","Derechos culturales","False"
"74","S4","Consumers and end users","Incidents related to information for consumers or end users","Privacy","Consumidores y usuarios finales","Incidencias relacionadas con la información para los consumidores o usuarios finales","Privacidad","False"
"75","S4","Consumers and end users","Incidents related to information for consumers or end users","Freedom of expression","Consumidores y usuarios finales","Incidencias relacionadas con la información para los consumidores o usuarios finales","Libertad de expresión","False"
"76","S4","Consumers and end users","Incidents related to information for consumers or end users","Access to information (quality)","Consumidores y usuarios finales","Incidencias relacionadas con la información para los consumidores o usuarios finales","Acceso a la información (de calidad)","False"
"77","S4","Consumers and end users","Personal safety of consumers or end users","Health and safety","Consumidores y usuarios finales","Seguridad personal de los consumidores o usuarios finales","Salud y seguridad","False"
"78","S4","Consumers and end users","Personal safety of consumers or end users","Safety of a person","Consumidores y usuarios finales","Seguridad personal de los consumidores o usuarios finales","Seguridad de una persona","False"
"79","S4","Consumers and end users","Personal safety of consumers or end users","Protection of children","Consumidores y usuarios finales","Seguridad personal de los consumidores o usuarios finales","Protección de los niños","False"
"80","S4","Consumers and end users","Social inclusion of consumers or end users","Non-discrimination","Consumidores y usuarios finales","Inclusión social de los consumidores o usuarios finales","No discriminación","False"
"81","S4","Consumers and end users","Social inclusion of consumers or end users","Access to products and services","Consumidores y usuarios finales","Inclusión social de los consumidores o usuarios finales","Acceso a productos y servicios","False"
"82","S4","Consumers and end users","Social inclusion of consumers or end users","Responsible marketing practices","Consumidores y usuarios finales","Inclusión social de los consumidores o usuarios finales","Prácticas de marketing responsables","False"
"83","G1","Business conduct","Corporate culture",,"Conducta empresarial","Cultura corporativa",,"False"
"84","G1","Business conduct","Protection of whistleblowers",,"Conducta empresarial","Protección de los denunciantes",,"False"
"85","G1","Business conduct","animal welfare",,"Conducta empresarial","Bienestar animal",,"False"
"86","G1","Business conduct","Political commitment and pressure group activities",,"Conducta empresarial","Compromiso político y actividades de los grupos de presión",,"False"
"87","G1","Business conduct","Supplier relationship management, including payment practices",,"Conducta empresarial","Gestión de las relaciones con los proveedores, incluidas las prácticas de pago",,"False"
"88","G1","Business conduct","Corruption and bribery","Prevention and detection, including training","Conducta empresarial","Corrupción y soborno","Prevención y detección, incluida la formación","False"
"89","G1","Business conduct","Corruption and bribery","Cases","Conducta empresarial","Corrupción y soborno","Casos","False"
